rotten_tomatoes_link;movie_title;content_rating;genre;directors;original_release_date;streaming_release_date;runtime;production_company;audience_rating;audience_count
m/10005057-smile;Smile;PG-13;COMEDY;Jeff Kramer, Jeffrey Kramer;04/08/2005;11/18/2016;107;Dark Forest Releasing;66;2059
m/10005104-intruder;The Intruder (L'Intrus);G;DRAMA;Claire Denis;12/23/2005;4/25/2006;130;Wellspring;73;9701
m/10005178-saint_ralph;Saint Ralph;PG-13;COMEDY;Michael McGowan;08/05/2005;05/11/2017;98;IDP;85;6203
m/10005403-the_baxter;The Baxter;PG-13;COMEDY;Michael Showalter;8/26/2005;07/02/2018;91;IFC Films;75;7436
m/10005499-oliver_twist;Oliver Twist;PG-13;DRAMA;Roman Polanski;9/30/2005;4/16/2012;130;Sony Pictures;63;23294
m/1000560-alamo;The Alamo;NR;ACTION & ADVENTURE;John Wayne;10/24/1960;11/30/2016;192;Batjac Productions;63;7337
m/10005755-g;G;R;DRAMA;Christopher Scott Cherot;9/16/2005;04/10/2018;96;Slow Hand Cinema;60;1143
m/1000581-alfie;Alfie;PG;COMEDY;Lewis Gilbert;8/24/1966;08/01/2013;114;Paramount Pictures;76;14669
m/10005819-10005819-neverwas;Neverwas;PG-13;DRAMA;Joshua Michael Stern;09/09/2005;4/19/2016;102;Senator Film;65;4059
m/10006007-the_second_chance;The Second Chance;PG-13;DRAMA;Steve Taylor;2/17/2006;7/18/2006;104;Sony Pictures;78;79542
m/10006057-moonlight;Moonlight;R;DRAMA;Paula Van der Oest;10/17/2003;3/13/2020;90;Indican Pictures;67;1430
m/1000617-aliens;Aliens;R;ACTION & ADVENTURE;James Cameron;7/18/1986;11/25/2015;137;20th Century Fox;94;429674
m/10006188-rise;Rise: Blood Hunter;R;HORROR;Sebastian Gutierrez;06/01/2007;11/01/2016;97;IDP Distribution;20;8239
m/1000626-all_about_eve;All About Eve;PG;DRAMA;Joseph L. Mankiewicz;01/01/1950;11/25/2015;138;20th Century Fox;94;45248
m/10006270;When Do We Eat?;R;COMEDY;Salvador Litvak;04/07/2006;5/22/2017;87;ThinkFilm;68;1121
m/10006324;The Mostly Unfabulous Social Life of Ethan Green;R;COMEDY;George Bamber;6/16/2006;02/02/2017;88;Regent Releasing;58;2394
m/10006343-dirty;Dirty;R;DRAMA;Chris Fisher;2/24/2006;4/16/2012;97;SNP Inc.;42;7326
m/10006370-stay_alive;Stay Alive;PG-13;HORROR;William Brent Bell;3/24/2006;08/09/2016;85;Buena Vista;55;113424
m/1000640-all_of_me;All of Me;PG;COMEDY;Carl Reiner;9/21/1984;10/30/2016;93;HBO Video;67;14346
m/1000643-all_quiet_on_the_western_front;All Quiet on the Western Front;NR;DRAMA;Delbert Mann;;4/16/2018;156;Unknown;69;7588
m/10006434-dreamland;Dreamland;PG-13;DRAMA;Jason Matzner;12/19/2006;4/16/2012;88;Dreamland Motion Picture Co.;65;5650
m/1000654-all_the_kings_men;All the King's Men;PG;DRAMA;Robert Rossen;11/08/1949;05/01/2013;109;Sony Pictures Home Entertainment;78;4866
m/10006780-lost_horizon;Lost Horizon;G;ACTION & ADVENTURE;Charles Jarrott;3/17/1973;12/18/2015;143;RCA Video;45;455
m/10006848-the_motel;The Motel;NR;COMEDY;Michael Kang;6/28/2005;3/17/2017;76;Palm Pictures;64;4038
m/10006856-requiem;Requiem;NR;DRAMA;Hans-Christian Schmid;10/20/2006;3/23/2017;92;IFC First Take;66;4728
m/10006940-silk;Gui si (Silk);PG-13;HORROR;Chao-Bin Su;5/24/2006;02/12/2015;117;;57;2531
m/10007139-park;Park;R;COMEDY;Kurt Voelker;06/12/2006;11/05/2017;86;Mello Pictures;48;684
m/10007142-the_4th_dimension;The 4th Dimension;NR;DRAMA;Tom Mattera, Dave Mazzoni;04/01/2006;10/09/2017;82;;31;394
m/10007333-bon_cop_bad_cop;Bon Cop, Bad Cop;R;ACTION & ADVENTURE;Eric Canuel;07/04/2006;05/12/2017;116;Vivafilm;82;20404
m/10007415-amazing_grace;Amazing Grace;PG;DRAMA;Michael Apted;2/23/2007;11/25/2015;116;Samuel Goldwyn Films LLC;85;54320
m/10007538-silence;The Silence;R;ACTION & ADVENTURE;Cate Shortland;;11/18/2016;104;;38;374
m/10007614-gone;Gone;R;HORROR;Ringan Ledwidge;03/09/2007;02/12/2014;88;United International;20;3329
m/10007714-situation;The Situation;R;DRAMA;Philip Haas;10/18/2006;7/31/2007;106;Shadow Distribution;58;2381
m/10007856-four_sheets_to_the_wind;Four Sheets to the Wind;R;DRAMA;Sterlin Harjo;1/22/2007;07/09/2016;81;First Look Home Entertainment;61;519
m/10007886-the_tigers_tail;The Tiger's Tail;R;COMEDY;John Boorman;9/26/2006;7/20/2016;106;Buena Vista;30;660
m/10007893-its_a_boy_girl_thing;It's a Boy Girl Thing;PG-13;COMEDY;Nick Hurran;12/26/2006;11/30/2016;95;Anchor Bay Entertainment;61;30371
m/10007898-slipstream;Slipstream;R;COMEDY;Anthony Hopkins;10/26/2007;4/16/2012;97;Strand Releasing;29;3523
m/10007902-delirious;Delirious;NR;COMEDY;Tom DiCillo;8/15/2007;10/13/2020;107;Peace Arch Films;57;8464
m/10007916_interview;Interview;R;DRAMA;Steve Buscemi;7/13/2007;4/16/2012;84;Sony Classics;55;25860
m/1000792-american_anthem;American Anthem;PG-13;ACTION & ADVENTURE;Albert Magnoli;06/01/1986;12/03/2013;102;Lorimar Home Video;65;1341
m/10007947-ten;The Ten;R;COMEDY;David Wain;1/18/2007;2/26/2016;99;ThinkFilm;40;77951
m/10007985-happening;The Happening;R;DRAMA;M. Night Shyamalan;06/11/2008;11/25/2015;89;20th Century Fox;24;370222
m/10008005-moliere;MoliÃ¨re;PG-13;COMEDY;Laurent Tirard, Laurent Sivot;7/27/2007;03/09/2014;120;Sony Pictures Classics;79;10937
m/10008126-straightheads;Straightheads (Closure);R;DRAMA;Dan Reed;4/27/2007;05/01/2012;88;Sony Pictures Entertainment;32;4645
m/10008140-borderland;Borderland;R;DRAMA;Zev Berman;11/09/2007;08/10/2016;104;After Dark Films;43;4194
m/10008200-spiral;Spiral;PG-13;DRAMA;Adam Green, Joel David Moore;1/27/2007;8/13/2017;90;Anchor Bay Entertainment;59;9001
m/10008234-alexandra;Alexandra;NR;DRAMA;Aleksandr Sokurov;5/25/2007;02/11/2015;95;The Cinema Guild;69;1333
m/10008496-pathology;Pathology;R;DRAMA;Marc Scholermann, Marc Schoelermann;4/18/2008;1/17/2017;93;MGM;39;49454
m/10008502-christmas_carol;Disney's A Christmas Carol;PG;DRAMA;Robert Zemeckis;11/06/2009;11/23/2015;95;Walt Disney Studios;58;776189
m/10008562-road_to_victory;Road to Victory;NR;DRAMA;Mike Reilly;3/18/2007;07/11/2016;99;Vanguard;78;89
m/10008587-beverly_hills_chihuahua;Beverly Hills Chihuahua;PG;COMEDY;Raja Gosnell;9/30/2008;12/13/2015;91;Walt Disney Pictures;52;186570
m/10008601-fireflies_in_the_garden;Fireflies in the Garden;R;DRAMA;Dennis Lee (III);10/14/2011;01/09/2014;98;Senator Entertainment;45;45155
m/10008606-eye;The Eye;PG-13;DRAMA;David Moreau, Xavier Palud;02/01/2008;11/09/2016;97;Lionsgate Films;43;303458
m/10008607-day_of_the_dead;Day of the Dead;R;HORROR;Steve Miner;04/01/2008;10/07/2016;87;First Look International;22;11098
m/10008611-my_best_friends_girl;My Best Friend's Girl;R;COMEDY;Howard Deutch;9/18/2008;09/09/2016;103;Lionsgate;46;86594
m/10008613-burrowers;The Burrowers;R;HORROR;J.T. Petty;09/01/2008;11/07/2016;96;Lions Gate Films;34;10869
m/10008617-midnight_meat_train;The Midnight Meat Train;R;DRAMA;Ryuhei Kitamura;8/14/2008;10/18/2016;100;Lionsgate Films;50;143577
m/10008618-return;The Lucky Ones;R;COMEDY;Neil Burger;9/26/2008;10/06/2016;115;Lionsgate;54;11792
m/10008621-run_fat_boy_run;Run Fatboy Run;PG-13;COMEDY;David Schwimmer;09/07/2007;07/02/2010;100;Picturehouse;64;102884
m/10008652-closing_escrow;Closing Escrow;PG;COMEDY;Armen Kaprelian, Kent G. Llewellyn, Kent Llewellyn;2/28/2007;08/10/2016;95;Magnolia Pictures;36;1123
m/10008655-whiteout;Whiteout;R;ACTION & ADVENTURE;Dominic Sena;09/11/2009;6/17/2011;101;Warner Bros. Pictures;21;538861
m/10008661-randy_and_the_mob;Randy and the Mob;PG;COMEDY;Ray McKinnon;10/13/2007;5/14/2017;99;Capricorn Pictures;39;288
m/10008667-black_irish;Black Irish;R;DRAMA;Brad Gann;10/26/2007;5/24/2020;94;Anywhere;58;1685
m/10008678-wild_child;Wild Child;PG-13;COMEDY;Nicholas Moore, Nick Moore;8/14/2008;02/12/2014;98;Universal Pictures;61;17496
m/10008687-powder_blue;Powder Blue;R;DRAMA;Timothy Linh Bui;05/08/2009;4/17/2017;108;Speakeasy Releasing;40;7416
m/10008700-darfur_now;Darfur Now;PG;DRAMA;Ted Braun;11/09/2007;5/27/2008;99;Warner Independent Pictures;73;2308
m/10008701-laaga_chunari_mein_daag;Laaga Chunari Mein Daag - Journey of a Woman;NR;DRAMA;Pradeep Sarkar;10/12/2007;03/02/2017;138;Yash Raj Films;58;3785
m/10008703-rails_and_ties;Rails & Ties;PG-13;DRAMA;Alison Eastwood;10/26/2007;12/31/2009;101;Warner Independent;58;10100
m/10008706-house;House;R;DRAMA;Robby Henson;11/07/2008;10/06/2016;88;Roadside Attractions;27;16715
m/10008744-canvas;Canvas;PG-13;DRAMA;Joseph Greco;10/12/2007;1/26/2016;101;Screen Media Films;62;571
m/10008748-saawariya;Saawariya;PG;DRAMA;Sanjay Leela Bhansali;11/09/2007;05/01/2012;146;Sony Pictures;46;5828
m/10008752-aaja_nachle;Aaja Nachle;NR;DRAMA;Anil Mehta;11/30/2007;03/11/2017;147;Yash Raj Films;72;4354
m/10008754-flawless;Flawless;PG-13;DRAMA;Michael Radford;3/28/2008;2/17/2017;106;Magnolia Pictures;54;12577
m/10008760-what_happens_in_vegas;What Happens in Vegas;PG-13;COMEDY;Tom Vaughan;4/22/2008;9/18/2012;99;20th Century Fox;65;501711
m/10008785-appaloosa;Appaloosa;R;ACTION & ADVENTURE;Ed Harris;10/03/2008;11/02/2010;116;Warner Bros. Pictures;55;55694
m/10008786-good;Good;R;DRAMA;Vicente Amorim;09/08/2008;08/10/2016;96;ThinkFilm;32;41569
m/10008820-visitor;The Visitor;PG-13;DRAMA;;4/25/2008;1/13/2017;103;Overture Films;84;127079
m/10008830-bill;Meet Bill;R;COMEDY;Melisa Wallack, Bernie Goldmann;04/04/2008;12/12/2016;92;First Look;44;8165
m/10008849-married_life;Married Life;PG-13;COMEDY;Ira Sachs;03/07/2008;02/12/2014;90;Sony Classics;36;5083
m/10008856-badland;Badland;R;DRAMA;Francesco Lucente;11/30/2007;1/19/2017;165;Arcangelo Entertainment;54;294
m/10008924-oxford_murders;The Oxford Murders;R;DRAMA;Ãlex de la Iglesia;08/06/2010;2/23/2017;110;Magnolia Pictures;33;14554
m/10008954-untraceable;Untraceable;R;DRAMA;Gregory Hoblit;1/25/2008;4/16/2012;101;Sony/Screen Gems;52;225138
m/10008991-informers;The Informers;R;DRAMA;Gregor Jordan;4/24/2009;4/16/2012;98;Senator International;18;18505
m/10009001-the_freshman;The Freshman;PG;COMEDY;Andrew Bergman;7/20/1990;05/01/2013;102;Sony Pictures Home Entertainment;61;11850
m/10009005-a_bloody_aria;Guta-yubalja-deul (A Bloody Aria);NR;DRAMA;Shin-yeon Won;5/31/2006;3/28/2017;115;;40;297
m/10009029-kenny;Kenny;PG-13;COMEDY;Clayton Jacobson;3/21/2008;4/17/2020;100;Xenon Pictures;86;8978
m/10009055-rocker;The Rocker;PG-13;COMEDY;Peter Cattaneo;06/12/2008;11/25/2015;102;Fox Atomic;46;44190
m/10009063-perfect_holiday;The Perfect Holiday;PG-13;ROMANCE;Lance Rivera;12/12/2007;4/16/2012;96;Yari Film Group;52;159645
m/10009066-la_graine_et_le_mulet;La Graine et le Mulet (The Secret of the Grain) (Couscous);NR;DRAMA;Abdel Kechiche;09/03/2007;5/23/2017;151;IFC Films;76;9062
m/10009083-land_of_the_lost;Land of the Lost;PG-13;ACTION & ADVENTURE;Brad Silberling, Adam McKay;06/05/2009;12/10/2015;102;Universal Pictures;32;542684
m/10009132-rec;[Rec];R;HORROR;Jaume BalaguerÃ³, Paco Plaza;11/23/2007;4/16/2012;78;Odeon Sky Filmworks;82;50437
m/10009138-look;Look;R;COMEDY;Adam Rifkin;12/14/2007;05/05/2009;98;Liberated Artists;56;709
m/1000915-and_god_created_woman;And God Created Woman;R;COMEDY;Roger Vadim;01/01/1988;01/03/2016;98;Vestron Video;33;1598
m/10009151-box;The Box;PG-13;HORROR;Richard Kelly;11/06/2009;08/01/2011;113;Warner Bros. Pictures;24;359098
m/10009169-man_in_the_chair;Man in the Chair;PG-13;COMEDY;Michael Schroeder;12/07/2007;9/27/2016;109;Outsider Films;68;931
m/10009172-undoing;Undoing;R;DRAMA;Chris Chan Lee;6/24/2006;3/29/2017;90;Indican;26;372
m/10009176-black_water;Black Water;R;HORROR;David Nerlich, Andrew Traucki;2/19/2008;4/16/2012;90;GGrindstone Entertainment Group;39;3952
m/10009192-21;21;PG-13;DRAMA;Robert Luketic;3/28/2008;4/16/2012;122;Sony/Columbia Pictures;66;367852
m/10009210-duchess_of_langeais;The Duchess of Langeais (Ne Touchez Pas La Hache)(Don't Touch the Axe);NR;DRAMA;Jacques Rivette;2/15/2007;04/10/2017;137;IFC First Take;52;865
m/10009212-ben_x;Ben X;NR;DRAMA;Nic Balthazar;9/26/2007;1/25/2017;93;Film Movement;80;6744
m/10009225-body_of_lies;Body of Lies;R;DRAMA;Ridley Scott;10/08/2008;09/01/2010;128;Warner Bros. Pictures;62;130010
m/10009239-passengers;Passengers;PG-13;DRAMA;Rodrigo GarcÃ­a;10/24/2008;01/02/2014;92;Sony Pictures/TriStar Pictures;35;29523
m/10009244-the_grand;The Grand;R;COMEDY;Zak Penn;01/11/2008;11/16/2015;104;Anchor Bay Entertainment;43;3058
m/10009253-the_hammer;The Hammer;R;COMEDY;Charles Herman-Wurmfeld;4/26/2007;08/10/2016;93;IFC Films;90;4944
m/10009254-shutter;Shutter;PG-13;HORROR;Masayuki Ochiai;3/19/2008;8/22/2016;85;20th Century Fox;33;241178
m/10009274-priest;Priest;PG-13;ACTION & ADVENTURE;Scott Stewart;5/13/2011;4/16/2012;87;Screen Gems/SONY PICTURES;46;86623
m/10009323-broken;The Broken;R;HORROR;Sean Ellis (II);;12/29/2016;88;After Dark Films;25;2548
m/10009355-sugar;Sugar;R;DRAMA;Anna Boden, Ryan Fleck;1/21/2008;4/16/2012;118;Sony Classics;80;12642
m/10009420-quid_pro_quo;Quid Pro Quo;R;DRAMA;Carlos Brooks;1/20/2008;08/10/2016;81;Magnolia Pictures;54;1775
m/10009421-red;Red;R;DRAMA;Trygve Allister Diesen, Lucky McKee;08/08/2008;07/08/2016;95;Magnolia Pictures;68;2607
m/10009426-guitar;The Guitar;R;DRAMA;Amy Redford;11/07/2008;02/10/2009;95;Lightning Media;55;1058
m/10009460-the_road;The Road;R;DRAMA;John Hillcoat;11/25/2009;4/16/2012;110;The Weinstein Company;68;248465
m/10009462-g_force;G-Force;PG;ACTION & ADVENTURE;Hoyt Yeatman, Hoyt Yeatman IV;7/24/2009;6/30/2016;88;Walt Disney Pictures;39;964669
m/10009469-the_other_man;The Other Man;R;DRAMA;Richard Eyre;12/03/2008;01/04/2017;90;Image Entertainment;18;4522
m/10009493-duchess;The Duchess;PG-13;DRAMA;Saul Dibb;09/05/2008;01/02/2017;109;Paramount Vantage;67;68912
m/10009516-women;The Women;PG-13;COMEDY;Diane English;09/04/2008;11/01/2010;114;Picturehouse Entertainment;38;62045
m/10009526-public_enemies;Public Enemies;R;ACTION & ADVENTURE;Michael Mann;07/01/2009;12/10/2015;140;Universal Studios;59;633778
m/10009547-night_and_day;Night and Day (Bam gua nat);NR;DRAMA;Hong Sang-soo;10/23/2009;;;IFC Films;68;336
m/10009552-julia;Julia;R;DRAMA;Erick Zonca;05/08/2009;11/27/2013;144;Magnolia Pictures;67;17308
m/1000957-angel_and_the_badman;Angel and the Badman;PG;WESTERN;James Edward Grant;2/15/1947;6/30/2016;100;Republic Pictures;67;6982
m/1000959-angel_heart;Angel Heart;R;DRAMA;Alan Parker;03/06/1987;08/10/2016;113;TriStar Pictures;81;30089
m/10009596-old_dogs;Old Dogs;PG;COMEDY;Walt Becker, Walter Becker;11/25/2009;07/01/2016;88;Walt Disney Pictures;44;182900
m/10009598-surrogates;Surrogates;PG-13;ACTION & ADVENTURE;Jonathan Mostow;9/25/2009;08/10/2016;88;Touchstone Pictures;38;295050
m/10009624-promotion;The Promotion;R;COMEDY;Steven Conrad;03/09/2008;03/05/2016;86;Weinstein Company;28;84738
m/10009632-notorious;Notorious;R;DRAMA;George Tillman Jr.;1/16/2009;11/25/2015;122;Fox Searchlight Pictures;65;97063
m/10009635-soul_men;Soul Men;R;COMEDY;Malcolm D. Lee;11/07/2008;2/14/2017;100;MGM;58;54256
m/10009636-igor;Igor;PG;COMEDY;Anthony Leondis, Tony Leondis;9/19/2008;4/13/2017;86;MGM;38;82504
m/10009791-auteur;The Auteur;NR;COMEDY;James Westby;01/01/2008;3/15/2016;80;FilmBuff;41;266
m/10009799-caller;The Caller;PG-13;DRAMA;Richard Ledes;9/26/2008;4/14/2009;95;Virgil Films & Entertainment;19;334
m/10009823-sin_nombre;Sin Nombre;R;DRAMA;Cary Joji Fukunaga;3/20/2009;08/10/2016;96;Focus Features;89;21295
m/10009828-house_of_sleeping_beauties;Das Haus der Schlafenden SchÃ¶nen (House of the Sleeping Beauties);NR;DRAMA;Vadim Glowna;11/14/2008;4/21/2009;99;First Run Features;17;173
m/10009890-stone_angel;The Stone Angel;R;DRAMA;Kari Skogland;09/12/2007;10/21/2008;115;Vivendi Entertainment;58;3026
m/10009926-alvin_and_the_chipmunks_2;Alvin and the Chipmunks: The Squeakquel;PG;COMEDY;Betty Thomas;12/23/2009;11/25/2015;89;20th Century Fox;49;368619
m/10009929-a_christmas_tale;Un Conte de NoÃ«l (A Christmas Tale);NR;COMEDY;Arnaud Desplechin;11/14/2008;10/15/2016;150;IFC Films;66;23425
m/10009980-rebound;The Rebound;R;COMEDY;Bart Freundlich;02/06/2009;09/01/2013;97;Momentum Picutres;46;31189
m/10009992-ripple_effect;Ripple Effect;R;DRAMA;Philippe Caland;07/11/2008;11/19/2015;83;Monterey Media;;
m/1000_times_good_night;1,000 Times Good Night;NR;DRAMA;Erik Poppe;10/24/2014;08/10/2016;117;Film Movement;65;1884
m/10010011-harold;Harold;PG-13;COMEDY;T. Sean Shannon;07/11/2008;01/01/2017;94;Arsenal Pictures;41;793
m/10010066-push;Push;PG-13;SCIENCE FICTION & FANTASY;Paul McGuigan;02/06/2009;12/19/2015;111;Summit Entertainment;42;2026452
m/10010077-felon;Felon;R;ACTION & ADVENTURE;Ric Roman Waugh;7/17/2008;01/01/2013;104;Sony Pictures Entertainment;82;13899
m/10010131-scar;Scar;R;DRAMA;Jed Weintrob;5/20/2007;11/18/2016;78;Unknown;11;689
m/10010150-unborn;The Unborn;PG-13;HORROR;David S. Goyer;01/09/2009;05/08/2015;88;Rogue Pictures;30;831848
m/10010153-bitch_slap;Bitch Slap;R;ACTION & ADVENTURE;Rick Jacobson;01/08/2010;02/01/2014;104;Freestyle Releasing;29;10344
m/10010155-forever_strong;Forever Strong;PG-13;DRAMA;Ryan Little;9/26/2008;11/30/2016;112;Crane Movie Company;75;9885
m/10010208-chocolate;Chocolate;R;ACTION & ADVENTURE;Prachya Pinkaew;02/06/2008;03/09/2017;110;Magnolia Pictures;73;12249
m/10010214-fireproof;Fireproof;PG;DRAMA;Alex Kendrick;9/26/2008;4/16/2012;122;Sherwood Pictures;82;39765
m/10010229-dostana;Dostana;R;COMEDY;Tarun Mansukhani, Raj Khosla;11/13/2008;03/08/2017;145;Yash Raj Films;68;4448
m/10010329-splinter;Splinter;R;HORROR;Toby Wilkins;10/31/2008;3/19/2015;82;Magnolia Pictures/Magnet Pictures;49;13218
m/10010334-leaves_of_grass;Leaves of Grass;R;COMEDY;Tim Blake Nelson;04/02/2010;1/25/2017;104;First Look Studios;49;15345
m/10010335-rab_ne_bana_di_jodi;Rab Ne Bana Di Jodi (A Couple Made by God) (A Match Made in Heaven);NR;ROMANCE;Aditya Chopra;12/11/2008;;96;Yash Raj Films;71;4363
m/10010458-proposal;The Proposal;PG-13;COMEDY;Anne Fletcher;6/19/2009;11/22/2015;108;Walt Disney Pictures;67;860325
m/10010552-gigantic;Gigantic;R;COMEDY;Matt Aselton;04/03/2009;05/03/2017;99;First Independent Pictures;34;97063
m/1001063-anna_karenina;Anna Karenina;NR;DRAMA;Clarence Brown;01/01/1935;08/04/2008;95;WARNER BROTHERS PICTURES;69;3066
m/10010658-orphan;Orphan;R;DRAMA;Jaume Collet-Serra;7/24/2009;7/24/2014;123;Warner Bros. Pictures;63;872860
m/10010662-my_sisters_keeper;My Sister's Keeper;PG-13;DRAMA;;6/26/2009;5/15/2014;108;Warner Bros. Pictures;72;365345
m/10010667-hangover;The Hangover;R;COMEDY;Todd Phillips;06/05/2009;01/07/2014;99;Warner Bros. Pictures;84;943179
m/10010668-stepfather;The Stepfather;PG-13;HORROR;Nelson McCormick;10/16/2009;04/09/2013;101;Screen Gems;35;982237
m/10010675-departures;Okuribito (Departures);PG-13;DRAMA;Yojiro Takita;5/29/2009;12/22/2016;130;Regent Releasing;92;51962
m/10010680-boogie;Boogie (Summer Holiday);NR;COMEDY;Radu Muntean;5/16/2008;11/28/2016;102;IFC Films;67;354
m/10010694-season_of_the_witch;Season of the Witch;PG-13;ACTION & ADVENTURE;Dominic Sena;01/07/2011;6/23/2011;95;Relativity Media;30;79868
m/10010760-miss_march;Miss March;R;COMEDY;Zach Cregger, Trevor Moore;3/13/2009;11/25/2015;89;20th Century Fox;29;79384
